"","X2","X2017.79280454998","X.3766980.01077201","X.3770169.06863789"
"210",211,1412.74202798069,-3430921.51134672,-3434265.37898966
"211",212,1411.70929673641,-3427039.04352899,-3431734.20964214
"212",213,1418.67963243255,-3420172.30359431,-3425063.30188444
"213",214,1417.02671287758,-3432277.63103315,-3439022.86026068
"214",215,1411.5185290323,-3410850.75803074,-3410914.31767164
"215",216,1412.85442467515,-3430502.34495559,-3433580.24004324
"216",217,1410.66885501916,-3427731.65987862,-3429808.74944339
"217",218,1418.36929294827,-3433936.09284489,-3448310.49419861
"218",219,1417.12041655694,-3429015.86363121,-3443556.80871163
"219",220,1414.81227745344,-3443107.83677588,-3445274.38441271
"220",221,1407.51744836502,-3440664.8380508,-3440680.81056378
"221",222,1412.35688440994,-3429423.7802571,-3429998.44187591
"222",223,1414.63840703291,-3445493.69930759,-3445490.70357532
"223",224,1410.81273807555,-3436397.07711344,-3437994.26978382
"224",225,1412.6577532241,-3424791.06264782,-3426996.19932602
"225",226,1413.64135855166,-3434980.27329854,-3434977.27756627
"226",227,1411.13320187728,-3448252.35461998,-3450775.20442046
"227",228,1415.23552169844,-3426174.59490623,-3430716.37150201
"228",229,1411.12254519619,-3429298.98931112,-3429731.60579573
"229",230,1416.11768903366,-3433395.2657492,-3433392.27001692
"230",231,1413.28570955256,-3436711.12624558,-3438642.99191955
"231",232,1409.56295766151,-3425255.81739289,-3435591.2451334
"232",233,1412.56344918677,-3431450.47083368,-3437484.1035411
"233",234,1414.99282391564,-3412128.30606972,-3419163.24962088
"234",235,1409.35239884015,-3430863.01504964,-3436138.0067261
"235",236,1414.12745687566,-3426409.00974382,-3431655.075964
"236",237,1416.34319770891,-3436301.17574872,-3438418.43252548
"237",238,1427.97550079703,-3436099.42990735,-3436572.63260883
"238",239,1414.03373093033,-3427896.94602863,-3431046.89097566
"239",240,1411.72812415165,-3434769.4485515,-3439492.40148798
"240",241,1411.39749962604,-3437335.09941387,-3438239.63975957
"241",242,1409.41377897952,-3443796.16176378,-3446845.33435125
"242",243,1409.86428755063,-3446789.69200722,-3448738.44633399
"243",244,1416.53476871987,-3429128.00706623,-3429125.01133396
"244",245,1423.23541853634,-3422577.50969341,-3423521.3613538
"245",246,1413.86132951845,-3434793.62824157,-3436390.59134263
"246",247,1409.21884260739,-3430093.18782828,-3431006.90479438
"247",248,1414.96313388755,-3435751.7214699,-3437871.52841566
"248",249,1408.86344463067,-3434886.04248794,-3442978.82360351
"249",250,1411.75011629374,-3433841.23678362,-3439784.66595771
